2026-01-14 15:39:08 | theta_client.client | INFO | Starting BetEdge client with 4 worker threads
2026-01-14 15:46:00 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2017/04/data.parquet
2026-01-14 15:46:07 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2023/07/data.parquet
2026-01-14 15:46:10 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2024/12/data.parquet
2026-01-14 15:46:13 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2017/09/data.parquet
2026-01-14 15:46:16 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2017/05/data.parquet
2026-01-14 15:46:23 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2023/03/data.parquet
2026-01-14 15:46:25 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2024/06/data.parquet
2026-01-14 15:46:28 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2020/06/data.parquet
2026-01-14 15:46:31 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2018/10/data.parquet
2026-01-14 15:46:33 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2024/11/data.parquet
2026-01-14 15:46:36 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2018/11/data.parquet
2026-01-14 15:46:39 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2020/09/data.parquet
2026-01-14 15:46:42 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2024/02/data.parquet
2026-01-14 15:46:46 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2025/07/data.parquet
2026-01-14 15:46:46 | theta_client.http_worker | WARNING | No data response from http://0.0.0.0:25503/v3/option/history/greeks/eod?symbol=CCL&expiration=*&strike=*&start_date=20181208&end_date=20181208 (76.5ms)
2026-01-14 15:46:46 | theta_client.http_worker | WARNING | No data response from http://0.0.0.0:25503/v3/option/history/greeks/eod?symbol=CCL&expiration=*&strike=*&start_date=20181201&end_date=20181201 (107.3ms)
2026-01-14 15:46:48 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2018/12/data.parquet
2026-01-14 15:46:52 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2025/09/data.parquet
2026-01-14 15:46:56 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2025/10/data.parquet
2026-01-14 15:47:03 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2023/05/data.parquet
2026-01-14 15:47:04 | theta_client.http_worker | WARNING | No data response from http://0.0.0.0:25503/v3/option/history/greeks/eod?symbol=CCL&expiration=*&strike=*&start_date=20190112&end_date=20190112 (82.2ms)
2026-01-14 15:47:04 | theta_client.http_worker | WARNING | No data response from http://0.0.0.0:25503/v3/option/history/greeks/eod?symbol=CCL&expiration=*&strike=*&start_date=20190126&end_date=20190126 (56.4ms)
2026-01-14 15:47:05 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2019/01/data.parquet
2026-01-14 15:47:09 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2021/04/data.parquet
2026-01-14 15:47:12 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2021/08/data.parquet
2026-01-14 15:47:14 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2025/03/data.parquet
2026-01-14 15:47:17 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2019/04/data.parquet
2026-01-14 15:47:21 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2025/08/data.parquet
2026-01-14 15:47:24 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2024/08/data.parquet
2026-01-14 15:47:26 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2019/09/data.parquet
2026-01-14 15:47:29 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2020/05/data.parquet
2026-01-14 15:47:37 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2023/06/data.parquet
2026-01-14 15:47:44 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2023/10/data.parquet
2026-01-14 15:47:45 | theta_client.http_worker | WARNING | No data response from http://0.0.0.0:25503/v3/option/history/greeks/eod?symbol=CCL&expiration=*&strike=*&start_date=20190608&end_date=20190608 (100.3ms)
2026-01-14 15:47:46 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2019/06/data.parquet
2026-01-14 15:47:48 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2018/06/data.parquet
2026-01-14 15:47:50 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2017/02/data.parquet
2026-01-14 15:47:53 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2019/08/data.parquet
2026-01-14 15:47:55 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2017/03/data.parquet
2026-01-14 15:47:58 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2019/05/data.parquet
2026-01-14 15:48:00 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2017/10/data.parquet
2026-01-14 15:48:04 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2024/10/data.parquet
2026-01-14 15:48:07 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2022/09/data.parquet
2026-01-14 15:48:10 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2018/03/data.parquet
2026-01-14 15:48:12 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2018/09/data.parquet
2026-01-14 15:48:16 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2025/12/data.parquet
2026-01-14 15:48:19 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2024/05/data.parquet
2026-01-14 15:48:24 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2021/12/data.parquet
2026-01-14 15:48:28 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2024/03/data.parquet
2026-01-14 15:48:30 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2017/01/data.parquet
2026-01-14 15:48:33 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2020/07/data.parquet
2026-01-14 15:48:36 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2025/01/data.parquet
2026-01-14 15:48:38 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2021/01/data.parquet
2026-01-14 15:48:42 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2022/08/data.parquet
2026-01-14 15:48:45 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2017/06/data.parquet
2026-01-14 15:48:48 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2022/02/data.parquet
2026-01-14 15:48:51 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2021/02/data.parquet
2026-01-14 15:48:53 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2018/08/data.parquet
2026-01-14 15:48:57 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2022/07/data.parquet
2026-01-14 15:48:59 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2017/08/data.parquet
2026-01-14 15:49:03 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2020/03/data.parquet
2026-01-14 15:49:10 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2023/08/data.parquet
2026-01-14 15:49:14 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2022/03/data.parquet
2026-01-14 15:49:17 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2021/05/data.parquet
2026-01-14 15:49:20 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2020/04/data.parquet
2026-01-14 15:49:23 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2024/01/data.parquet
2026-01-14 15:49:26 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2020/08/data.parquet
2026-01-14 15:49:30 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2022/04/data.parquet
2026-01-14 15:49:33 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2021/11/data.parquet
2026-01-14 15:49:40 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2023/12/data.parquet
2026-01-14 15:49:43 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2020/11/data.parquet
2026-01-14 15:49:46 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2022/01/data.parquet
2026-01-14 15:49:49 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2021/07/data.parquet
2026-01-14 15:49:52 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2024/09/data.parquet
2026-01-14 15:49:56 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2024/04/data.parquet
2026-01-14 15:50:02 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2023/02/data.parquet
2026-01-14 15:50:05 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2021/06/data.parquet
2026-01-14 15:50:08 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2025/11/data.parquet
2026-01-14 15:50:12 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2025/04/data.parquet
2026-01-14 15:50:15 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2025/05/data.parquet
2026-01-14 15:50:17 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2017/12/data.parquet
2026-01-14 15:50:20 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2025/02/data.parquet
2026-01-14 15:50:24 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2022/12/data.parquet
2026-01-14 15:50:31 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2023/11/data.parquet
2026-01-14 15:50:34 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2022/05/data.parquet
2026-01-14 15:50:38 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2020/12/data.parquet
2026-01-14 15:50:44 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2023/09/data.parquet
2026-01-14 15:50:47 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2019/11/data.parquet
2026-01-14 15:50:49 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2018/04/data.parquet
2026-01-14 15:50:52 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2020/10/data.parquet
2026-01-14 15:50:59 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2023/04/data.parquet
2026-01-14 15:51:03 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2021/10/data.parquet
2026-01-14 15:51:06 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2019/12/data.parquet
2026-01-14 15:51:08 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2018/02/data.parquet
2026-01-14 15:51:12 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2021/03/data.parquet
2026-01-14 15:51:14 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2018/01/data.parquet
2026-01-14 15:51:18 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2024/07/data.parquet
2026-01-14 15:51:20 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2020/02/data.parquet
2026-01-14 15:51:24 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2025/06/data.parquet
2026-01-14 15:51:26 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2019/03/data.parquet
2026-01-14 15:51:28 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2018/07/data.parquet
2026-01-14 15:51:31 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2017/11/data.parquet
2026-01-14 15:51:34 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2021/09/data.parquet
2026-01-14 15:51:38 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2022/11/data.parquet
2026-01-14 15:51:41 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2019/10/data.parquet
2026-01-14 15:51:43 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2019/07/data.parquet
2026-01-14 15:51:46 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2022/06/data.parquet
2026-01-14 15:51:49 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/CCL/2022/10/data.parquet
2026-01-14 15:51:49 | theta_client.client | INFO | All jobs completed successfully in 372.03 seconds
2026-01-14 15:51:49 | theta_client.client | INFO | Processing data request for OptionRequest (ID: 4f7a59ce-98b8-4205-8d8e-06fd46b718a1)
2026-01-14 15:51:50 | theta_client.client | INFO | Waiting for all jobs to complete...
2026-01-14 15:51:51 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2017/07/data.parquet
2026-01-14 15:51:52 | theta_client.http_worker | WARNING | No data response from http://0.0.0.0:25503/v3/option/history/greeks/eod?symbol=DIOD&expiration=*&strike=*&start_date=20190209&end_date=20190209 (77.3ms)
2026-01-14 15:51:54 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2019/02/data.parquet
2026-01-14 15:51:56 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2020/01/data.parquet
2026-01-14 15:52:02 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2023/01/data.parquet
2026-01-14 15:52:04 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2018/05/data.parquet
2026-01-14 15:52:06 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2017/04/data.parquet
2026-01-14 15:52:13 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2023/07/data.parquet
2026-01-14 15:52:16 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2024/12/data.parquet
2026-01-14 15:52:18 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2017/09/data.parquet
2026-01-14 15:52:20 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2017/05/data.parquet
2026-01-14 15:52:27 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2023/03/data.parquet
2026-01-14 15:52:30 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2024/06/data.parquet
2026-01-14 15:52:33 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2020/06/data.parquet
2026-01-14 15:52:36 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2018/10/data.parquet
2026-01-14 15:52:39 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2024/11/data.parquet
2026-01-14 15:52:41 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2018/11/data.parquet
2026-01-14 15:52:44 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2020/09/data.parquet
2026-01-14 15:52:47 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2024/02/data.parquet
2026-01-14 15:52:50 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2025/07/data.parquet
2026-01-14 15:52:51 | theta_client.http_worker | WARNING | No data response from http://0.0.0.0:25503/v3/option/history/greeks/eod?symbol=DIOD&expiration=*&strike=*&start_date=20181201&end_date=20181201 (88.1ms)
2026-01-14 15:52:51 | theta_client.http_worker | WARNING | No data response from http://0.0.0.0:25503/v3/option/history/greeks/eod?symbol=DIOD&expiration=*&strike=*&start_date=20181208&end_date=20181208 (92.0ms)
2026-01-14 15:52:52 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2018/12/data.parquet
2026-01-14 15:52:56 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2025/09/data.parquet
2026-01-14 15:53:00 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2025/10/data.parquet
2026-01-14 15:53:07 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2023/05/data.parquet
2026-01-14 15:53:08 | theta_client.http_worker | WARNING | No data response from http://0.0.0.0:25503/v3/option/history/greeks/eod?symbol=DIOD&expiration=*&strike=*&start_date=20190112&end_date=20190112 (59.4ms)
2026-01-14 15:53:08 | theta_client.http_worker | WARNING | No data response from http://0.0.0.0:25503/v3/option/history/greeks/eod?symbol=DIOD&expiration=*&strike=*&start_date=20190126&end_date=20190126 (53.3ms)
2026-01-14 15:53:09 | theta_client.file_writer | INFO | File writer successfully uploaded object to MinIO: thetadata/option/history/greeks/eod/monthly/1d/DIOD/2019/01/data.parquet
